customer_id,gender,age,married,number_of_dependents,tenure_in_months,number_of_referrals,city,offer,phone_service,multiple_lines,internet_service,internet_type,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,average_monthly_gb_download,average_monthly_long_distance_charges,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,customer_status,churn_category,churn_reason
0002-ORFBO,Female,37,True,0,9,2,Frazier Park,None,True,False,True,Cable,False,True,False,True,True,False,False,True,One Year,True,Credit Card,16.0,42.39,65.6,593.3,0.0,0.0,381.51,Stayed,Still Subscribed,Still Subscribed
0004-TLHLJ,Male,50,False,0,4,0,Costa Mesa,Offer E,True,False,True,Fiber Optic,False,False,True,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,30.0,33.65,73.9,280.85,0.0,0.0,134.6,Churned,Competitor,Competitor had better devices
0011-IGKFF,Male,78,True,0,13,1,Martinez,Offer D,True,False,True,Fiber Optic,False,True,True,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,4.0,27.82,98.0,1237.85,0.0,0.0,361.66,Churned,Dissatisfaction,Product dissatisfaction
0013-EXCHZ,Female,75,True,0,3,3,Camarillo,None,True,False,True,Fiber Optic,False,False,False,True,True,False,False,True,Month-to-Month,True,Credit Card,11.0,7.38,83.9,267.4,0.0,0.0,22.14,Churned,Dissatisfaction,Network reliability
0013-MHZWF,Female,23,False,3,9,0,Midpines,Offer E,True,False,True,Cable,False,False,False,True,True,True,True,True,Month-to-Month,True,Credit Card,73.0,16.77,69.4,571.45,0.0,0.0,150.93,Stayed,Still Subscribed,Still Subscribed
0013-SMEOE,Female,67,True,0,71,1,Lompoc,Offer A,True,False,True,Fiber Optic,True,True,True,True,True,True,True,True,Two Year,True,Bank Withdrawal,14.0,9.96,109.7,7904.25,0.0,0.0,707.16,Stayed,Still Subscribed,Still Subscribed
0014-BMAQU,Male,52,True,0,63,8,Napa,Offer B,True,True,True,Fiber Optic,True,False,False,True,False,False,False,False,Two Year,True,Credit Card,7.0,12.96,84.65,5377.8,0.0,20.0,816.48,Stayed,Still Subscribed,Still Subscribed
0015-UOCOJ,Female,68,False,0,7,0,Simi Valley,Offer E,True,False,True,DSL,True,False,False,False,False,False,False,True,Two Year,True,Bank Withdrawal,21.0,10.53,48.2,340.35,0.0,0.0,73.71,Stayed,Still Subscribed,Still Subscribed
0016-QLJIS,Female,43,True,1,65,3,Sheridan,None,True,True,True,Cable,True,True,True,True,True,True,True,True,Two Year,True,Credit Card,14.0,28.46,90.45,5957.9,0.0,0.0,1849.9,Stayed,Still Subscribed,Still Subscribed
0017-DINOC,Male,47,False,0,54,0,Rancho Santa Fe,None,False,False,True,Cable,True,False,False,True,True,False,False,True,Two Year,False,Credit Card,10.0,0.0,45.2,2460.55,0.0,0.0,0.0,Stayed,Still Subscribed,Still Subscribed
0017-IUDMW,Female,25,True,2,72,2,Sunnyvale,None,True,True,True,Fiber Optic,True,True,True,True,True,True,True,True,Two Year,True,Credit Card,59.0,16.01,116.8,8456.75,0.0,0.0,1152.72,Stayed,Still Subscribed,Still Subscribed
0018-NYROU,Female,58,True,0,5,0,Antelope,None,True,False,True,Fiber Optic,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,10.0,18.65,68.95,351.5,0.0,0.0,93.25,Stayed,Still Subscribed,Still Subscribed
0019-EFAEP,Female,32,False,0,72,0,La Mesa,Offer A,True,True,True,Fiber Optic,True,True,True,False,True,False,False,True,Two Year,True,Bank Withdrawal,16.0,2.25,101.3,7261.25,0.0,0.0,162.0,Stayed,Still Subscribed,Still Subscribed
0019-GFNTW,Female,39,False,0,56,0,Los Olivos,None,False,False,True,DSL,True,True,True,True,False,False,False,True,Two Year,False,Bank Withdrawal,19.0,0.0,45.05,2560.1,0.0,0.0,0.0,Stayed,Still Subscribed,Still Subscribed
0020-INWCK,Female,58,True,2,71,9,Woodlake,Offer A,True,True,True,Fiber Optic,False,True,True,False,False,True,True,True,Two Year,True,Credit Card,12.0,27.26,95.75,6849.4,0.0,0.0,1935.46,Stayed,Still Subscribed,Still Subscribed
0020-JDNXP,Female,52,True,1,34,0,Point Reyes Station,None,False,False,True,DSL,True,False,True,True,True,True,True,True,One Year,False,Credit Card,20.0,0.0,61.25,1993.2,0.0,0.0,0.0,Stayed,Still Subscribed,Still Subscribed
0021-IKXGC,Female,72,False,0,1,0,San Marcos,Offer E,True,True,True,Fiber Optic,False,False,False,False,False,False,False,True,One Year,True,Bank Withdrawal,22.0,7.77,72.1,72.1,0.0,0.0,7.77,Joined,Still Subscribed,Still Subscribed
0022-TCJCI,Male,79,False,0,45,0,Daly City,None,True,False,True,DSL,True,False,True,False,False,True,False,True,One Year,False,Credit Card,17.0,10.67,62.7,2791.5,0.0,0.0,480.15,Churned,Dissatisfaction,Limited range of services
0023-HGHWL,Male,67,False,0,1,0,Morgan Hill,None,False,False,True,Cable,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,9.0,0.0,25.1,25.1,0.0,0.0,0.0,Churned,Competitor,Competitor made better offer
0023-UYUPN,Female,79,True,0,50,0,Ahwahnee,None,True,True,False,None,False,False,False,False,False,False,False,False,One Year,False,Bank Withdrawal,0.0,31.43,25.2,1306.3,0.0,0.0,1571.5,Stayed,Still Subscribed,Still Subscribed
0023-XUOPT,Female,26,True,0,13,1,Carnelian Bay,None,True,True,True,Fiber Optic,False,True,True,False,True,False,False,True,Month-to-Month,False,Bank Withdrawal,52.0,43.56,94.1,1215.6,0.0,0.0,566.28,Churned,Other,Don't know
0027-KWYKW,Female,30,True,2,23,1,Alpaugh,Offer D,True,True,True,Fiber Optic,False,False,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,30.0,34.91,83.75,1849.95,0.0,0.0,802.93,Stayed,Still Subscribed,Still Subscribed
0030-FNXPP,Female,22,False,0,3,0,Keeler,None,True,False,False,None,False,False,False,False,False,False,False,False,Month-to-Month,False,Credit Card,0.0,3.12,19.85,57.2,0.0,0.0,9.36,Joined,Still Subscribed,Still Subscribed
0031-PVLZI,Female,34,True,0,4,0,Korbel,Offer E,True,False,False,None,False,False,False,False,False,False,False,False,Month-to-Month,False,Credit Card,0.0,12.43,20.35,76.35,0.0,0.0,49.72,Churned,Price,Long distance charges
0032-PGELS,Female,37,True,1,1,1,Palomar Mountain,None,False,False,True,DSL,True,False,False,False,False,False,False,True,Month-to-Month,False,Bank Withdrawal,19.0,0.0,30.5,30.5,0.0,0.0,0.0,Churned,Attitude,Attitude of service provider
0036-IHMOT,Female,37,True,3,55,10,Parlier,None,True,False,True,Fiber Optic,False,True,True,True,True,True,True,False,One Year,True,Bank Withdrawal,57.0,35.04,103.7,5656.75,0.0,20.0,1927.2,Stayed,Still Subscribed,Still Subscribed
0040-HALCW,Male,42,True,3,54,3,Modesto,None,True,False,False,None,False,False,False,False,False,False,False,False,Two Year,False,Credit Card,0.0,19.7,20.4,1090.6,0.0,0.0,1063.8,Stayed,Still Subscribed,Still Subscribed
0042-JVWOJ,Male,64,False,0,26,0,Glen Ellen,Offer C,True,False,False,None,False,False,False,False,False,False,False,False,One Year,True,Bank Withdrawal,0.0,37.7,19.6,471.85,21.25,0.0,980.2,Stayed,Still Subscribed,Still Subscribed
0042-RLHYP,Female,47,True,3,69,5,Eureka,None,True,False,False,None,False,False,False,False,False,False,False,False,Two Year,False,Bank Withdrawal,0.0,38.39,19.7,1396.9,0.0,0.0,2648.91,Stayed,Still Subscribed,Still Subscribed
0048-LUMLS,Male,23,True,3,37,1,Moss Beach,Offer C,True,False,True,Fiber Optic,False,False,False,False,True,True,True,True,One Year,False,Credit Card,51.0,43.01,91.2,3247.55,0.0,0.0,1591.37,Stayed,Still Subscribed,Still Subscribed
0048-PIHNL,Female,48,True,0,49,5,Los Angeles,Offer B,True,False,False,None,False,False,False,False,False,False,False,False,One Year,False,Bank Withdrawal,0.0,49.58,20.45,900.9,0.0,0.0,2429.42,Stayed,Still Subscribed,Still Subscribed
0052-YNYOT,Female,28,False,0,67,0,Calexico,None,True,False,False,None,False,False,False,False,False,False,False,False,One Year,False,Bank Withdrawal,0.0,23.12,20.55,1343.4,30.53,0.0,1549.04,Stayed,Still Subscribed,Still Subscribed
0056-EPFBG,Male,33,True,1,20,4,Redding,None,False,False,True,Cable,True,False,True,True,False,False,False,True,Two Year,True,Credit Card,22.0,0.0,39.4,825.4,0.0,0.0,0.0,Stayed,Still Subscribed,Still Subscribed
0057-QBUQH,Female,31,False,3,43,0,San Martin,None,True,True,False,None,False,False,False,False,False,False,False,False,Two Year,True,Bank Withdrawal,0.0,30.64,25.1,1070.15,0.0,0.0,1317.52,Stayed,Still Subscribed,Still Subscribed
0058-EVZWM,Female,37,True,0,55,2,Stockton,Offer B,True,True,True,Fiber Optic,True,False,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,9.0,5.08,89.8,4959.6,0.0,0.0,279.4,Stayed,Still Subscribed,Still Subscribed
